.--------------------------------------------------------------------------------------------.
|                Ship                |  MWD Speed  | Tornado Bump | Orca Bump  | RCU | Nanos |
| Squall                             | 6,909 m/s   | 54,283km     | 50,462 km  |   3 |     0 |
| Prorator                           | 6,924 m/s   | 54,045km     | 49,446 km  |   4 |     0 |
| Chameleon                          | 6,792 m/s   | 53,236km     | 49,186 km  |   4 |     0 |
| Viator                             | 6,799 m/s   | 52,939km     | 48,145 km  |   3 |     0 |
| Crane                              | 6,491 m/s   | 50,712km     | 46,488 km  |   2 |     0 |
| Hulk                               | 6,116 m/s   | 48,374km     | 45,716 km  |   3 |     0 |
| Noctis                             | 5,956 m/s   | 47,056km     | 44,354 km  |   3 |     0 |
| Covetor                            | 5,734 m/s   | 45,350km     | 42,859 km  |   3 |     0 |
| Wreathe                            | 5,769 m/s   | 44,918km     | 40,851 km  |   5 |     0 |
| Hoarder                            | 5,305 m/s   | 41,391km     | 37,832 km  |   3 |     0 |
| Nereus                             | 5,254 m/s   | 41,079km     | 37,732 km  |   5 |     0 |
| Badger                             | 5,180 m/s   | 40,424km     | 36,955 km  |   4 |     0 |
| Mackinaw                           | 4,797 m/s   | 38,209km     | 36,765 km  |   3 |     0 |
| Sigil                              | 5,071 m/s   | 39,618km     | 36,319 km  |   6 |     0 |
| Retriever                          | 4,612 m/s   | 36,740km     | 35,351 km  |   3 |     0 |
| Miasmos Quafe Ultra Edition        | 4,850 m/s   | 37,919km     | 34,829 km  |   3 |     0 |
| Miasmos Quafe Ultramarine Edition  | 4,850 m/s   | 37,919km     | 34,829 km  |   3 |     0 |
| Miasmos Amastris Edition           | 4,850 m/s   | 37,919km     | 34,829 km  |   3 |     0 |
| Mammoth                            | 4,831 m/s   | 37,804km     | 34,792 km  |   5 |     0 |
| Mammoth Nefantar Edition           | 4,831 m/s   | 37,804km     | 34,792 km  |   5 |     0 |
| Kryos                              | 4,750 m/s   | 37,299km     | 34,628 km  |   4 |     0 |
| Epithal                            | 4,737 m/s   | 37,222km     | 34,603 km  |   4 |     0 |
| Miasmos                            | 4,725 m/s   | 37,145km     | 34,577 km  |   4 |     0 |
| Mastodon                           | 4,326 m/s   | 34,618km     | 33,704 km  |   4 |     0 |
| Tayra                              | 4,526 m/s   | 35,587km     | 33,133 km  |   4 |     0 |
| Tayra Wiyrkomi Edition             | 4,526 m/s   | 35,587km     | 33,133 km  |   4 |     0 |
| Bestower                           | 4,297 m/s   | 33,840km     | 31,626 km  |   6 |     0 |
| Bestower Tash-Murkon Edition       | 4,297 m/s   | 33,840km     | 31,626 km  |   6 |     0 |
| Occator                            | 3,976 m/s   | 31,802km     | 30,920 km  |   6 |     0 |
| Skiff                              | 3,923 m/s   | 31,460km     | 30,796 km  |   3 |     0 |
| Iteron Mark V                      | 4,102 m/s   | 32,302km     | 30,189 km  |   5 |     0 |
| Iteron Inner Zone Shipping Edition | 4,102 m/s   | 32,302km     | 30,189 km  |   5 |     0 |
| Porpoise                           | 4,511 m/s   | 34,427km     | 29,884 km  |   2 |     0 |
| Torrent                            | 3,576 m/s   | 28,661km     | 28,019 km  |   3 |     0 |
| Procurer                           | 3,567 m/s   | 28,600km     | 27,997 km  |   3 |     0 |
| Impel                              | 3,232 m/s   | 25,879km     | 25,248 km  |   7 |     0 |
| Mackinaw ORE Development Edition   | 3,210 m/s   | 25,740km     | 25,197 km  |   3 |     0 |
| Bustard                            | 2,853 m/s   | 22,880km     | 22,397 km  |   3 |     0 |
| Proteus                            | 564 m/s     | 4,444km      | 4,147 km   |   0 |     0 |
| Legion                             | 454 m/s     | 3,587km      | 3,378 km   |   0 |     0 |
| Loki                               | 454 m/s     | 3,580km      | 3,353 km   |   0 |     0 |
| Tengu                              | 417 m/s     | 3,295km      | 3,100 km   |   0 |     0 |
'--------------------------------------------------------------------------------------------'
