.--------------------------------------------------------------------------------------------.
|                 Ship                  | MWD Speed | Tornado Bump | Orca Bump | RCU | Nanos |
| 响尾蛇级YC117年特别版                         | 1,506 m/s | 13,341km     | 18,061 km |   0 |     6 |
| Thunderchild                          | 1,493 m/s | 13,249km     | 18,063 km |   0 |     5 |
| Scorpion                              | 1,465 m/s | 13,013km     | 17,804 km |   0 |     5 |
| Maelstrom Nefantar Edition            | 1,465 m/s | 13,013km     | 17,804 km |   0 |     5 |
| Maelstrom Krusual Edition             | 1,465 m/s | 13,013km     | 17,804 km |   0 |     5 |
| Scorpion Ishukone Watch               | 1,450 m/s | 12,884km     | 17,627 km |   0 |     4 |
| Vargur                                | 1,375 m/s | 12,472km     | 18,697 km |   0 |     6 |
| Abaddon                               | 1,395 m/s | 12,389km     | 16,934 km |   0 |     7 |
| Abaddon Tash-Murkon Edition           | 1,395 m/s | 12,389km     | 16,934 km |   0 |     7 |
| Abaddon Kador Edition                 | 1,395 m/s | 12,389km     | 16,934 km |   0 |     7 |
| 地狱天使级YC117年特别版                        | 1,395 m/s | 12,389km     | 16,934 km |   0 |     7 |
| Rokh Nugoeihuvi Edition               | 1,374 m/s | 12,217km     | 16,782 km |   0 |     5 |
| Rokh Wiyrkomi Edition                 | 1,374 m/s | 12,217km     | 16,782 km |   0 |     5 |
| Rokh                                  | 1,360 m/s | 12,095km     | 16,615 km |   0 |     4 |
| Kronos                                | 1,324 m/s | 12,003km     | 17,936 km |   0 |     7 |
| Praxis                                | 1,296 m/s | 11,385km     | 14,918 km |   0 |     7 |
| Paladin                               | 1,201 m/s | 10,933km     | 16,648 km |   0 |     7 |
| Golem                                 | 1,199 m/s | 10,905km     | 16,529 km |   0 |     4 |
| Orca                                  | 684 m/s   | 6,203km      | 9,300 km  |   0 |     2 |
| Orca ORE Development Edition          | 494 m/s   | 4,596km      | 7,746 km  |   0 |     2 |
'--------------------------------------------------------------------------------------------'
