.--------------------------------------------------------------------------------------------.
|                 Ship                 | MWD Speed  | Tornado Bump | Orca Bump | RCU | Nanos |
| Tristan                              | 8,594 m/s  | 23,860km     | 8,558 km  |   3 |     0 |
| Maulus Navy Issue                    | 8,569 m/s  | 23,844km     | 8,558 km  |   4 |     0 |
| Kitsune                              | 8,354 m/s  | 23,698km     | 8,562 km  |   2 |     0 |
| Astero                               | 8,605 m/s  | 23,694km     | 8,475 km  |   4 |     0 |
| Coercer                              | 7,949 m/s  | 23,610km     | 8,671 km  |   0 |     3 |
| Coercer Blood Raiders Edition        | 7,949 m/s  | 23,610km     | 8,671 km  |   0 |     3 |
| Flycatcher                           | 8,205 m/s  | 23,593km     | 8,564 km  |   1 |     0 |
| Merlin                               | 8,520 m/s  | 23,523km     | 8,421 km  |   3 |     0 |
| Merlin Nugoeihuvi Edition            | 8,520 m/s  | 23,523km     | 8,421 km  |   3 |     0 |
| Merlin Wiyrkomi Edition              | 8,520 m/s  | 23,523km     | 8,421 km  |   3 |     0 |
| Catalyst                             | 7,948 m/s  | 23,358km     | 8,545 km  |   1 |     2 |
| InterBus Catalyst                    | 7,948 m/s  | 23,358km     | 8,545 km  |   1 |     2 |
| Intaki Syndicate Catalyst            | 7,948 m/s  | 23,358km     | 8,545 km  |   1 |     2 |
| Inner Zone Shipping Catalyst         | 7,948 m/s  | 23,358km     | 8,545 km  |   1 |     2 |
| Quafe Catalyst                       | 7,948 m/s  | 23,358km     | 8,545 km  |   1 |     2 |
| Aliastra Catalyst                    | 7,948 m/s  | 23,358km     | 8,545 km  |   1 |     2 |
| Catalyst Serpentis Edition           | 7,948 m/s  | 23,358km     | 8,545 km  |   1 |     2 |
| Ishkur                               | 8,338 m/s  | 23,287km     | 8,369 km  |   3 |     0 |
| Enyo                                 | 8,336 m/s  | 23,170km     | 8,313 km  |   4 |     0 |
| Hound                                | 7,951 m/s  | 23,130km     | 8,431 km  |   3 |     0 |
| Buzzard                              | 8,066 m/s  | 22,986km     | 8,318 km  |   3 |     0 |
| Metamorphosis                        | 8,241 m/s  | 22,761km     | 8,149 km  |   3 |     0 |
| Minmatar Peacekeeper Ship            | 7,991 m/s  | 22,594km     | 8,153 km  |   2 |     0 |
| SOCT 1                               | 7,991 m/s  | 22,594km     | 8,153 km  |   2 |     0 |
| Purifier                             | 7,650 m/s  | 22,351km     | 8,160 km  |   3 |     0 |
| Vengeance                            | 8,045 m/s  | 22,343km     | 8,014 km  |   4 |     0 |
| Thrasher                             | 7,427 m/s  | 21,944km     | 8,043 km  |   1 |     1 |
| Nefantar Thrasher                    | 7,427 m/s  | 21,944km     | 8,043 km  |   1 |     1 |
| Thrasher Thukker Tribe Edition       | 7,427 m/s  | 21,944km     | 8,043 km  |   1 |     1 |
| Hawk                                 | 7,849 m/s  | 21,925km     | 7,879 km  |   2 |     0 |
| Confessor                            | 7,211 m/s  | 21,751km     | 8,034 km  |   1 |     4 |
| Swordspine                           | 7,826 m/s  | 21,737km     | 7,797 km  |   4 |     0 |
| Nergal                               | 7,722 m/s  | 21,437km     | 7,688 km  |   4 |     0 |
| Amarr Police Frigate                 | 7,518 m/s  | 21,413km     | 7,747 km  |   3 |     0 |
| Harpy                                | 7,672 m/s  | 21,289km     | 7,634 km  |   3 |     0 |
| Anathema                             | 7,572 m/s  | 21,279km     | 7,663 km  |   4 |     0 |
| Dragoon                              | 7,047 m/s  | 21,041km     | 7,742 km  |   2 |     2 |
| Manticore                            | 7,166 m/s  | 20,880km     | 7,615 km  |   2 |     0 |
| Lynx                                 | 7,325 m/s  | 20,711km     | 7,474 km  |   3 |     0 |
| Cormorant Navy Issue                 | 6,917 m/s  | 20,651km     | 7,598 km  |   1 |     1 |
| Nemesis                              | 7,100 m/s  | 20,552km     | 7,478 km  |   2 |     0 |
| Sunesis                              | 7,006 m/s  | 20,480km     | 7,478 km  |   1 |     3 |
| Cormorant                            | 6,781 m/s  | 20,246km     | 7,449 km  |   1 |     1 |
| Cormorant Guristas Edition           | 6,781 m/s  | 20,246km     | 7,449 km  |   1 |     1 |
| Gallente Police Ship                 | 6,505 m/s  | 20,094km     | 7,490 km  |   3 |     0 |
| Algos                                | 6,740 m/s  | 19,912km     | 7,299 km  |   2 |     1 |
| Blade                                | 6,792 m/s  | 19,204km     | 6,930 km  |   5 |     0 |
| Talwar                               | 6,361 m/s  | 18,893km     | 6,938 km  |   3 |     0 |
| Devourer                             | 6,659 m/s  | 18,828km     | 6,794 km  |   3 |     0 |
| Fury                                 | 6,659 m/s  | 18,828km     | 6,794 km  |   1 |     0 |
| Erinye                               | 5,478 m/s  | 18,146km     | 6,959 km  |   2 |     0 |
| Dagger                               | 5,478 m/s  | 18,146km     | 6,959 km  |   3 |     0 |
| Mamba                                | 6,027 m/s  | 18,087km     | 6,668 km  |   2 |     0 |
| Svipul                               | 6,229 m/s  | 18,010km     | 6,550 km  |   3 |     1 |
| Corax                                | 5,781 m/s  | 17,349km     | 6,396 km  |   2 |     0 |
| Khanid Navy Frigate                  | 5,904 m/s  | 17,164km     | 6,255 km  |   2 |     0 |
| Mordus Frigate                       | 5,904 m/s  | 17,164km     | 6,255 km  |   2 |     0 |
| Hecate                               | 5,372 m/s  | 14,926km     | 5,355 km  |   3 |     1 |
| Jackdaw                              | 5,331 m/s  | 14,899km     | 5,355 km  |   2 |     1 |
| Kishar                               | 3,389 m/s  | 13,223km     | 5,489 km  |   4 |     0 |
| Gatherer                             | 2,514 m/s  | 9,880km      | 4,118 km  |   6 |     0 |
| Medusa                               | 1,065 m/s  | 3,012km      | 1,087 km  |   1 |     0 |
| Immovable Enigma                     | 0 m/s      | 0km          | 0 km      |   0 |     7 |
'--------------------------------------------------------------------------------------------'
